text,label,notes
They love drafting 6'6 shooting guards who go on to become Hall of Famers for other teams.,hot_take,Humorous criticism of Charlotte.
"SGA is primarily a point guard, and Kobe functioned more like a small forward in Phil Jackson's system.",analysis,Position and historical discussion.
The Hornets were never actually going to have SGA because the Clippers made the selection.,analysis,Clarification of draft mechanics.
It is strange looking back at how difficult commentators found it to pronounce Gilgeous-Alexander's name when he entered the league.,reaction,Observation.
"The Clippers had a chance to become what Oklahoma City is today, but ownership pushed for immediate contention.",hot_take,Strong opinion.
Any general manager would have made the Paul George trade at the time given the opportunity to acquire Kawhi Leonard and Paul George together.,analysis,Reasoned historical argument.
The Thunder are where they are today largely because of Sam Presti's management.,analysis,Front office evaluation.
The 2018 draft will likely be remembered as one of the strongest guard drafts ever.,analysis,Historical comparison.
It is amazing that SGA won two MVP awards only eight years into his career.,reaction,Expression of amazement.
Trading Shai Gilgeous-Alexander is not even the Clippers' biggest mistake.,hot_take,Provocative opinion.
The league's changes to lottery odds show that elite talent can still emerge outside the very top picks.,analysis,Reasoning about draft outcomes.
I remember thinking SGA would be a steal for Los Angeles the moment he was drafted.,reaction,Personal recollection.
Only Michael Jordan and SGA have produced four consecutive 30-point seasons while shooting over 50 percent from the field as guards.,analysis,Statistical argument.
SGA has become one of the most accomplished players from the 2018 draft class.,analysis,Career evaluation.
People forget how highly regarded SGA was as a young player before he became a superstar.,analysis,Discussion of perception.
Getting role players and fringe All-Stars is not a bad return anymore because being a play-in caliber team is now one of the best positions for lottery odds.,analysis,Reasoning about new lottery incentives.
Jaylen Brown is a great floor raiser because his game is built around creating difficult baskets efficiently.,analysis,Player evaluation.
The best teams today are usually eight or nine players deep. Teams built around a few expensive stars and weak depth have struggled.,analysis,Roster construction argument.
"The best teams are often built through circumstances that are difficult to replicate, such as MVP-level players on rookie contracts.",analysis,Historical comparison.
"If Miami keeps its younger players and develops them under strong coaching, that may be the better long-term approach.",analysis,Team-building strategy.
I think this is a positive outcome for the league because it encourages teams to remain competitive while rebuilding.,hot_take,Opinion about league rules.
"You can still tank under the new system, but teams have to do it differently now.",analysis,Strategic claim.
